timestamp,metric,value,alert
2025-10-15 22:19:38,humidity,71.15,High Humidity
2025-10-15 22:19:48,humidity,73.03,High Humidity
2025-10-15 22:19:58,humidity,67.6,High Humidity
2025-10-15 22:20:03,humidity,59.03,High Humidity
2025-10-15 22:20:08,humidity,50.06,High Humidity
2025-10-15 22:20:28,humidity,64.35,High Humidity
2025-10-15 22:20:38,humidity,70.07,High Humidity
2025-10-15 22:20:43,humidity,60.34,High Humidity
2025-10-15 22:21:03,humidity,71.23,High Humidity
2025-10-15 22:21:08,humidity,65.99,High Humidity
2025-10-15 22:21:18,humidity,75.28,High Humidity
2025-10-15 22:21:23,humidity,66.43,High Humidity
2025-10-15 22:21:28,humidity,79.79,High Humidity
2025-10-15 22:21:33,humidity,54.87,High Humidity
2025-10-15 22:21:38,humidity,75.73,High Humidity
2025-10-15 22:21:43,humidity,75.89,High Humidity
2025-10-15 22:21:48,humidity,70.92,High Humidity
2025-10-15 22:22:03,humidity,53.68,High Humidity
2025-10-15 22:22:08,humidity,64.32,High Humidity
2025-10-15 22:22:13,humidity,63.27,High Humidity
2025-10-15 22:22:18,humidity,56.32,High Humidity
2025-10-15 22:22:33,humidity,66.36,High Humidity
2025-10-15 22:22:48,humidity,68.39,High Humidity
2025-10-15 22:22:53,humidity,75.88,High Humidity
2025-10-15 22:23:03,humidity,70.15,High Humidity
2025-10-15 22:23:28,humidity,67.43,High Humidity
2025-10-15 22:23:43,humidity,60.36,High Humidity
2025-10-15 22:23:48,humidity,55.59,High Humidity
2025-10-15 22:23:58,humidity,75.82,High Humidity
2025-10-15 22:24:08,humidity,75.59,High Humidity
2025-10-15 22:24:18,humidity,70.37,High Humidity
2025-10-15 22:24:23,humidity,56.0,High Humidity
2025-10-15 22:24:33,humidity,72.8,High Humidity
2025-10-15 22:24:43,humidity,72.33,High Humidity
2025-10-15 22:24:48,humidity,64.23,High Humidity
2025-10-15 22:24:58,humidity,51.88,High Humidity
2025-10-15 22:25:04,humidity,60.79,High Humidity
2025-10-15 22:25:09,humidity,59.48,High Humidity
2025-10-15 22:25:19,humidity,73.61,High Humidity
2025-10-15 22:25:24,humidity,58.38,High Humidity
2025-10-15 22:25:29,humidity,71.57,High Humidity
2025-10-15 22:25:34,humidity,77.2,High Humidity
2025-10-15 22:25:39,humidity,67.42,High Humidity
2025-10-15 22:25:44,humidity,59.81,High Humidity
2025-10-15 22:25:54,humidity,60.7,High Humidity
2025-10-15 22:25:59,humidity,62.94,High Humidity
2025-10-15 22:26:04,humidity,65.28,High Humidity
2025-10-15 22:26:14,humidity,74.48,High Humidity
2025-10-15 22:26:24,humidity,56.79,High Humidity
2025-10-15 22:26:39,humidity,69.95,High Humidity
2025-10-15 22:26:49,humidity,74.98,High Humidity
2025-10-15 22:26:54,humidity,67.52,High Humidity
2025-10-15 22:26:59,humidity,54.15,High Humidity
2025-10-15 22:27:09,humidity,68.65,High Humidity
2025-10-15 22:27:19,humidity,57.3,High Humidity
2025-10-15 22:27:24,humidity,63.82,High Humidity
2025-10-15 22:27:29,humidity,77.33,High Humidity
2025-10-15 22:27:34,humidity,52.51,High Humidity
2025-10-15 22:27:49,humidity,59.84,High Humidity
